左	左 ←
向左	向左 ←
左箭头	左箭头 ←
右	右 →
向右	向右 →
箭头	箭头 →
右箭头	右箭头 →
下	下 ↓
向下	向下 ↓
下箭头	下箭头 ↓
上	上 ↑
向上	向上 ↑
上箭头	上箭头 ↑
左上	左上 ↖
右上	右上 ↗
左下	左下 ↙
右下	右下 ↘
左右	左右 ↔
上下	上下 ↕
右上三角	右上三角 ◥
左上三角	左上三角 ◤
左下三角	左下三角 ◣
右下三角	右下三角 ◢
摄氏度	摄氏度 ℃
温度	温度 ℃
度	度 °
华氏度	华氏度 ℉
版权	版权 ©
注册商标	注册商标 ®
录音版权所有	录音版权所有 ℗
对	对 √
对勾	对勾 √
错	错 ×
叉	叉 ×
五角星	五角星 ☆ ★
圆形	圆形 ○
圆圈	圆圈 ○ ●
方框	方框 □ ■
方块	方块 □ ■
正方形	正方形 □
三角	三角 △
三角形	三角形 △ ▲
倒三角	倒三角 ▽ ▼
左三角	左三角 ◁
右三角	右三角 ▷
菱形	菱形 ◇ ◆
同心圆	同心圆 ◎
左边	左边 ☜
右边	右边 ☞
心	心 ❤
红桃	红桃 ❤
黑桃	黑桃 ♠
方片	方片 ♦
梅花	梅花 ♣
男	男 ♂
性别	性别 ♂
女	女 ♀
性别	性别 ♀
选中	选中 ☑
公司	公司 ㏇
商标	商标 ™
号码	号码 №
邮件	邮件 @
电话	电话 ℡
佛教	佛教 卍
万	万 卍
对比度	对比度 ◐
黑白三角	黑白三角 ◮
黑白方块	黑白方块 ◪
雪花	雪花 ❉
星号	星号 ※
四点	四点 ∷
一点	一点 ·
点	点 ·
间隔号	间隔号 ·
花	花 ❀
带圆圈的上	带圆圈的上 ㊤
带圆圈的下	带圆圈的下 ㊦
带圆圈的中	带圆圈的中 ㊥
带圆圈的左	带圆圈的左 ㊧
带圆圈的右	带圆圈的右 ㊨
带圆圈的正	带圆圈的正 ㊣
章节号	章节号 §
音符	音符 ♪
比	比 ∶
对比号	对比号 ∶
加	加 ＋
加号	加号 ＋
减	减 －
减号	减号 －
乘	乘 ×
乘以	乘以 ×
乘号	乘号 ×
除	除 ÷
除以	除以 ÷
除号	除号 ÷
等于	等于 ＝
大于	大于 ＞
小于	小于 ＜
大于等于	大于等于 ≥
小于等于	小于等于 ≤
不大于	不大于 ≯
不小于	不小于 ≮
约等于	约等于 ≈
不等于	不等于 ≠
因为	因为 ∵
所以	所以 ∴
百分号	百分号 %
百分之	百分之 %
千分号	千分号 ‰
千分之	千分之 ‰
正负	正负 ±
正负号	正负号 ±
加减	加减 ±
平行	平行 ∥
和	和 ∑
求和	求和 ∑
对数	对数 ㏒
自然对数	自然对数 ㏑
零次方	零次方 º
一次方	一次方 ¹
平方	平方 ²
立方	立方 ³
二分之一	二分之一 ½
三分之一	三分之一 ⅓
四分之一	四分之一 ¼
四分之三	四分之三 ¾
无穷大	无穷大 ∞
空集	空集 ∅
交	交 ∩
交集	交集 ∩
并	并 ∪
并集	并集 ∪
相似	相似 ∽
全等	全等 ≌
属于	属于 ∈
不属于	不属于 ∉
积分	积分 ∫
二重积分	二重积分 ∬
三重积分	三重积分 ∭
曲线积分	曲线积分 ∮
面积分	面积分 ∯
体积分	体积分 ∰
偏微分	偏微分 ∂
阿尔法	阿尔法 α
贝塔	贝塔 β
伽马	伽马 γ
德尔塔	德尔塔 δ
欧米伽	欧米伽 Ω
派	派 π
和	和 ＆
斜三角	斜三角 ⊿
垂直	垂直 ⊥
角	角 ∠
人民币	人民币 ¥
美元	美元 $
英镑	英镑 £
泰铢	泰铢 ฿
美分	美分 ￠
欧元	欧元 €
马克	马克 ￡
分	分 ′
秒	秒 ″
微米	微米 μm
厘米	厘米 ㎝
毫米	毫米 ㎜
千米	千米 ㎞
毫克	毫克 ㎎
千克	千克 ㎏
毫升	毫升 ml
平方米	平方米 ㎡
立方	立方 m³
立方米	立方米 m³
摩尔	摩尔 mol
上午	上午 ㏂
下午	下午 ㏘
逗号	逗号 ，
句号	句号 。
问号	问号 ？
感叹号	感叹号 ！
冒号	冒号 ：
分号	分号 ；
井号	井号 #
省略号	省略号  ……
顿号	顿号 、
双引号	双引号 “”
左引号	左引号 “
右引号	右引号 ”
单引号	单引号 ‘’
括号	括号 （）
圆括号	圆括号 （）
实心括号	实心括号 【】
书名号	书名号 《 《》 》
单书名号	单书名号 〈〉
尖括号	尖括号 <>
大括号	大括号 ｛｝
中括号	中括号 []
破折号	破折号 ——
波浪线	波浪线 ~
一	一 ① Ⅰ 
二	二 ② Ⅱ
三	三 ③ Ⅲ
四	四 ④ Ⅳ
五	五 ⑤ Ⅴ
六	六 ⑥ Ⅵ
七	七 ⑦ Ⅵ
八	八 ⑧ Ⅷ
九	九 ⑨ Ⅸ
十	十 ⑩ Ⅹ
十一	十一 ⑪
十二	十二 ⑫
十三	十三 ⑬
十四	十四 ⑭
十五	十五 ⑮
十六	十六 ⑯
十七	十七 ⑰
十八	十八 ⑱
十九	十九 ⑲
二十	二十 ⑳
